Fecha;ALAMEDA;APORTA;APORTA FOMENTA;ARMONIZA;BANGUARDIA;BANNUESTRA;BANSANDER;CAPITAL;CONCORDIA;CUPRUM;EL LIBERTADOR;FOMENTA;FUTURO;GENERA;HABITAT;INVIERTA;LABORAL;MAGISTER;MODELO;NORPREVISION;PLANVITAL;PREVIPAN;PROTECCION;PROVIDA;QUALITAS;SAN CRISTOBAL;SANTA MARIA;SUMMA;SUMMA BANSANDER;UNION;VALORA
1981-06-01;100,0;;;;;;;;100,0;100,0;100,0;;;;100,0;100,0;;;;;100,0;;;100,0;;100,0;100,0;100,0;;;
1981-06-01;100,0;;;;;;;;100,0;100,0;100,0;;;;100,0;100,0;;;;;100,0;;;100,0;;100,0;100,0;100,0;;;
1981-06-02;100,0;;;;;;;;100,0;100,0;100,0;;;;100,0;100,0;;;;;100,0;;;100,0;;100,0;100,0;100,0;;;
1981-06-02;100,0;;;;;;;;100,0;100,0;100,0;;;;100,0;100,0;;;;;100,0;;;100,0;;100,0;100,0;100,0;;;
1981-06-03;100,0;;;;;;;;100,0;100,0;100,0;;;;100,0;100,0;;;;;100,0;;;100,0;;100,0;100,0;100,0;;;
1981-06-03;100,0;;;;;;;;100,0;100,0;100,0;;;;100,0;100,0;;;;;100,0;;;100,0;;100,0;100,0;100,0;;;
1981-06-04;100,0;;;;;;;;100,0;100,0;100,0;;;;100,0;100,0;;;;;100,0;;;100,0;;100,0;100,0;100,0;;;
1981-06-04;100,0;;;;;;;;100,0;100,0;100,0;;;;100,0;100,0;;;;;100,0;;;100,0;;100,0;100,0;100,0;;;
1981-06-05;100,0;;;;;;;;100,0;100,0;100,0;;;;100,0;100,0;;;;;100,0;;;100,0;;100,0;100,0;100,0;;;
1981-06-05;100,0;;;;;;;;100,0;100,0;100,0;;;;100,0;100,0;;;;;100,0;;;100,0;;100,0;100,0;100,0;;;
1981-06-06;100,0;;;;;;;;100,0;100,0;100,0;;;;100,0;100,0;;;;;100,0;;;100,0;;100,0;100,0;100,0;;;
1981-06-06;100,0;;;;;;;;100,0;100,0;100,0;;;;100,0;100,0;;;;;100,0;;;100,0;;100,0;100,0;100,0;;;
1981-06-07;100,0;;;;;;;;100,0;100,0;100,0;;;;100,0;100,0;;;;;100,0;;;100,0;;100,0;100,0;100,0;;;
1981-06-07;100,0;;;;;;;;100,0;100,0;100,0;;;;100,0;100,0;;;;;100,0;;;100,0;;100,0;100,0;100,0;;;
1981-06-08;100,0;;;;;;;;100,0;100,0;100,0;;;;100,0;100,0;;;;;100,0;;;100,0;;100,0;100,0;100,0;;;
1981-06-08;100,0;;;;;;;;100,0;100,0;100,0;;;;100,0;100,0;;;;;100,0;;;100,0;;100,0;100,0;100,0;;;
1981-06-09;100,0;;;;;;;;100,0;100,0;100,0;;;;100,0;100,0;;;;;100,0;;;100,0;;100,0;100,0;100,0;;;
1981-06-09;100,0;;;;;;;;100,0;100,0;100,0;;;;100,0;100,0;;;;;100,0;;;100,0;;100,0;100,0;100,0;;;
1981-06-10;100,0;;;;;;;;100,0;100,0;100,0;;;;100,0;100,0;;;;;100,0;;;100,0;;100,0;100,0;100,0;;;
1981-06-10;100,0;;;;;;;;100,0;100,0;100,0;;;;100,0;100,0;;;;;100,0;;;100,0;;100,0;100,0;100,0;;;
1981-06-11;100,0;;;;;;;;100,0;100,0;100,0;;;;100,0;100,0;;;;;100,0;;;100,0;;100,0;100,0;100,0;;;
1981-06-11;100,0;;;;;;;;100,0;100,0;100,0;;;;100,0;100,0;;;;;100,0;;;100,0;;100,0;100,0;100,0;;;
1981-06-12;100,0;;;;;;;;100,0;100,0;100,0;;;;100,0;100,0;;;;;100,0;;;100,0;;100,0;100,0;100,0;;;
1981-06-12;100,0;;;;;;;;100,0;100,0;100,0;;;;100,0;100,0;;;;;100,0;;;100,0;;100,0;100,0;100,0;;;
1981-06-13;100,0;;;;;;;;100,0;100,0;100,0;;;;100,0;100,0;;;;;100,0;;;100,0;;100,0;100,0;100,0;;;
1981-06-13;100,0;;;;;;;;100,0;100,0;100,0;;;;100,0;100,0;;;;;100,0;;;100,0;;100,0;100,0;100,0;;;
1981-06-14;100,0;;;;;;;;100,0;100,0;100,0;;;;100,0;100,0;;;;;100,0;;;100,0;;100,0;100,0;100,0;;;
1981-06-14;100,0;;;;;;;;100,0;100,0;100,0;;;;100,0;100,0;;;;;100,0;;;100,0;;100,0;100,0;100,0;;;
1981-06-15;100,0;;;;;;;;100,0;100,0;100,0;;;;100,0;100,0;;;;;100,0;;;100,0;;100,0;100,0;100,0;;;
1981-06-15;100,0;;;;;;;;100,0;100,0;100,0;;;;100,0;100,0;;;;;100,0;;;100,0;;100,0;100,0;100,0;;;
1981-06-16;100,0;;;;;;;;100,0;100,0;100,0;;;;100,0;100,0;;;;;100,0;;;100,0;;100,0;100,0;100,0;;;
1981-06-16;100,0;;;;;;;;100,0;100,0;100,0;;;;100,0;100,0;;;;;100,0;;;100,0;;100,0;100,0;100,0;;;
1981-06-17;100,78;;;;;;;;101,89;100,13;100,42;;;;100,29;100,36;;;;;100,47;;;100,47;;100,67;100,42;100,36;;;
1981-06-17;100,78;;;;;;;;101,89;100,13;100,42;;;;100,29;100,36;;;;;100,47;;;100,47;;100,67;100,42;100,36;;;
1981-06-18;100,87;;;;;;;;101,9;100,19;100,48;;;;100,37;100,47;;;;;100,55;;;100,54;;100,75;100,51;100,44;;;
1981-06-18;100,87;;;;;;;;101,9;100,19;100,48;;;;100,37;100,47;;;;;100,55;;;100,54;;100,75;100,51;100,44;;;
1981-06-19;100,98;;;;;;;;101,95;100,27;100,55;;;;100,43;100,57;;;;;100,64;;;100,61;;100,84;100,58;100,52;;;
1981-06-19;100,98;;;;;;;;101,95;100,27;100,55;;;;100,43;100,57;;;;;100,64;;;100,61;;100,84;100,58;100,52;;;
1981-06-20;100,98;;;;;;;;101,95;100,27;100,55;;;;100,43;100,57;;;;;100,64;;;100,61;;100,84;100,58;100,52;;;
1981-06-20;100,98;;;;;;;;101,95;100,27;100,55;;;;100,43;100,57;;;;;100,64;;;100,61;;100,84;100,58;100,52;;;
1981-06-21;100,98;;;;;;;;101,95;100,27;100,55;;;;100,43;100,57;;;;;100,64;;;100,61;;100,84;100,58;100,52;;;
1981-06-21;100,98;;;;;;;;101,95;100,27;100,55;;;;100,43;100,57;;;;;100,64;;;100,61;;100,84;100,58;100,52;;;
1981-06-22;101,24;;;;;;;;102,15;100,47;100,76;;;;100,63;100,89;;;;;100,91;;;100,81;;101,08;100,81;100,76;;;
1981-06-22;101,24;;;;;;;;102,15;100,47;100,76;;;;100,63;100,89;;;;;100,91;;;100,81;;101,08;100,81;100,76;;;
1981-06-23;101,39;;;;;;;;102,14;100,55;100,94;;;;100,69;101,0;;;;;101,0;;;100,89;;101,16;100,89;100,84;;;
1981-06-23;101,39;;;;;;;;102,14;100,55;100,94;;;;100,69;101,0;;;;;101,0;;;100,89;;101,16;100,89;100,84;;;
1981-06-24;101,47;;;;;;;;102,31;100,63;101,03;;;;100,76;101,1;;;;;101,1;;;100,98;;101,24;100,96;100,95;;;
1981-06-24;101,47;;;;;;;;102,31;100,63;101,03;;;;100,76;101,1;;;;;101,1;;;100,98;;101,24;100,96;100,95;;;
1981-06-25;101,55;;;;;;;;102,51;100,7;101,11;;;;100,82;101,21;;;;;101,19;;;101,46;;101,32;101,05;101,03;;;
1981-06-25;101,55;;;;;;;;102,51;100,7;101,11;;;;100,82;101,21;;;;;101,19;;;101,46;;101,32;101,05;101,03;;;
1981-06-26;101,64;;;;;;;;102,59;100,77;101,23;;;;100,73;101,31;;;;;101,29;;;101,59;;101,4;101,17;101,24;;;
1981-06-26;101,64;;;;;;;;102,59;100,77;101,23;;;;100,73;101,31;;;;;101,29;;;101,59;;101,4;101,17;101,24;;;
1981-06-27;101,64;;;;;;;;102,59;100,77;101,23;;;;100,73;101,31;;;;;101,29;;;101,59;;101,4;101,17;101,24;;;
1981-06-27;101,64;;;;;;;;102,59;100,77;101,23;;;;100,73;101,31;;;;;101,29;;;101,59;;101,4;101,17;101,24;;;
1981-06-28;101,64;;;;;;;;102,59;100,77;101,23;;;;100,73;101,31;;;;;101,29;;;101,59;;101,4;101,17;101,24;;;
1981-06-28;101,64;;;;;;;;102,59;100,77;101,23;;;;100,73;101,31;;;;;101,29;;;101,59;;101,4;101,17;101,24;;;
1981-06-29;101,99;;;;;;;;102,88;101,0;101,49;;;;100,98;101,63;;;;;101,57;;;101,97;;101,64;101,39;101,49;;;
1981-06-29;101,99;;;;;;;;102,88;101,0;101,49;;;;100,98;101,63;;;;;101,57;;;101,97;;101,64;101,39;101,49;;;
1981-06-30;102,15;;;;;;;;103,01;101,11;101,54;;;;101,05;101,73;;;;;101,69;;;102,05;;101,72;101,47;101,58;;;
1981-06-30;102,15;;;;;;;;103,01;101,11;101,54;;;;101,05;101,73;;;;;101,69;;;102,05;;101,72;101,47;101,58;;;
1981-07-01;102,34;;;;;;;;103,1;101,18;101,69;;;;101,57;101,83;;;;;101,79;;;102,13;;101,95;101,55;101,8;;;
1981-07-01;102,34;;;;;;;;103,1;101,18;101,69;;;;101,57;101,83;;;;;101,79;;;102,13;;101,95;101,55;101,8;;;
1981-07-02;102,43;;;;;;;;103,19;101,3;101,77;;;;101,64;101,94;;;;;101,87;;;102,21;;102,03;101,63;101,88;;;
1981-07-02;102,43;;;;;;;;103,19;101,3;101,77;;;;101,64;101,94;;;;;101,87;;;102,21;;102,03;101,63;101,88;;;
1981-07-03;102,55;;;;;;;;103,07;101,33;101,86;;;;101,72;102,06;;;;;101,96;;;102,3;;102,12;101,75;101,9;;;
1981-07-03;102,55;;;;;;;;103,07;101,33;101,86;;;;101,72;102,06;;;;;101,96;;;102,3;;102,12;101,75;101,9;;;
1981-07-04;102,55;;;;;;;;103,07;101,33;101,86;;;;101,72;102,06;;;;;101,96;;;102,3;;102,12;101,75;101,9;;;
1981-07-04;102,55;;;;;;;;103,07;101,33;101,86;;;;101,72;102,06;;;;;101,96;;;102,3;;102,12;101,75;101,9;;;
1981-07-05;102,55;;;;;;;;103,07;101,33;101,86;;;;101,72;102,06;;;;;101,96;;;102,3;;102,12;101,75;101,9;;;
1981-07-05;102,55;;;;;;;;103,07;101,33;101,86;;;;101,72;102,06;;;;;101,96;;;102,3;;102,12;101,75;101,9;;;
1981-07-06;102,83;;;;;;;;103,37;101,56;102,13;;;;101,92;102,42;;;;;102,24;;;102,51;;102,35;101,8;102,12;;;
1981-07-06;102,83;;;;;;;;103,37;101,56;102,13;;;;101,92;102,42;;;;;102,24;;;102,51;;102,35;101,8;102,12;;;
1981-07-07;102,92;;;;;;;;103,54;101,64;102,22;;;;102,02;102,54;;;;;102,33;;;102,7;;102,44;101,9;102,18;;;
1981-07-07;102,92;;;;;;;;103,54;101,64;102,22;;;;102,02;102,54;;;;;102,33;;;102,7;;102,44;101,9;102,18;;;
1981-07-08;103,02;;;;;;;;103,65;101,67;102,31;;;;102,13;102,67;;;;;102,43;;;102,78;;102,41;101,96;102,19;;;
1981-07-08;103,02;;;;;;;;103,65;101,67;102,31;;;;102,13;102,67;;;;;102,43;;;102,78;;102,41;101,96;102,19;;;
1981-07-09;103,14;;;;;;;;103,76;101,82;102,42;;;;101,88;102,79;;;;;102,25;;;102,86;;102,49;102,04;102,28;;;
1981-07-09;103,14;;;;;;;;103,76;101,82;102,42;;;;101,88;102,79;;;;;102,25;;;102,86;;102,49;102,04;102,28;;;
1981-07-10;103,25;;;;;;;;103,86;101,96;102,52;;;;101,96;102,92;;;;;102,34;;;103,68;;102,56;102,26;102,32;;;
1981-07-10;103,25;;;;;;;;103,86;101,96;102,52;;;;101,96;102,92;;;;;102,34;;;103,68;;102,56;102,26;102,32;;;
1981-07-11;103,25;;;;;;;;103,86;101,96;102,52;;;;101,96;102,92;;;;;102,34;;;103,68;;102,56;102,26;102,32;;;
1981-07-11;103,25;;;;;;;;103,86;101,96;102,52;;;;101,96;102,92;;;;;102,34;;;103,68;;102,56;102,26;102,32;;;
1981-07-12;103,25;;;;;;;;103,86;101,96;102,52;;;;101,96;102,92;;;;;102,34;;;103,68;;102,56;102,26;102,32;;;
1981-07-12;103,25;;;;;;;;103,86;101,96;102,52;;;;101,96;102,92;;;;;102,34;;;103,68;;102,56;102,26;102,32;;;
