Fecha;CAPITAL;CUPRUM;HABITAT;MODELO;PLANVITAL;PROVIDA
2018-01-01;37753,79;39737,49;36157,33;40081,08;61881,07;36098,92
2018-01-02;37790,16;39776,46;36193,06;40117,42;61943,46;36135,24
2018-01-03;37793,08;39762,34;36189,27;40121,36;61948,72;36127,31
2018-01-04;37810,27;39773,51;36206,59;40124,61;61972,86;36139,2
2018-01-05;37791,63;39761,57;36190,53;40102,68;61938,83;36119,73
2018-01-06;37791,63;39761,57;36190,53;40102,68;61938,83;36119,73
2018-01-07;37791,63;39761,57;36190,53;40102,68;61938,83;36119,73
2018-01-08;37841,89;39804,21;36235,88;40143,85;62024,41;36155,71
2018-01-09;37843,64;39806,82;36238,56;40145,3;62012,87;36156,72
2018-01-10;37846,3;39819,58;36247,23;40161,69;62021,91;36162,76
2018-01-11;37752,17;39724,08;36151,7;40054,96;61871,84;36061,59
2018-01-12;37751,44;39721,71;36158,24;40062,58;61877,49;36064,19
2018-01-13;37751,44;39721,71;36158,24;40062,58;61877,49;36064,19
2018-01-14;37751,44;39721,71;36158,24;40062,58;61877,49;36064,19
2018-01-15;37775,21;39731,76;36173,81;40092,04;61906,95;36078,65
2018-01-16;37775,21;39731,76;36173,81;40092,04;61906,95;36078,65
2018-01-17;37793,73;39748,56;36192,58;40108,57;61939,13;36094,07
2018-01-18;37884,41;39841,23;36283,11;40209,14;62087,14;36182,01
2018-01-19;37890,12;39841,19;36283,04;40199,39;62085,74;36180,53
2018-01-20;37890,12;39841,19;36283,04;40199,39;62085,74;36180,53
2018-01-21;37890,12;39841,19;36283,04;40199,39;62085,74;36180,53
2018-01-22;37903,17;39857,59;36300,54;40213,64;62106,99;36191,47
2018-01-23;37908,31;39852,49;36308,2;40218,46;62117,15;36191,51
2018-01-24;37945,26;39891,14;36339,63;40262,49;62186,63;36228,36
2018-01-25;37959,92;39900,1;36360,32;40280,48;62205,63;36248,5
2018-01-26;38010,49;39942,1;36402,34;40340,73;62285,91;36294,77
2018-01-27;38010,49;39942,1;36402,34;40340,73;62285,91;36294,77
2018-01-28;38010,49;39942,1;36402,34;40340,73;62285,91;36294,77
2018-01-29;38026,96;39953,97;36427,22;40354,13;62325,75;36319,65
2018-01-30;37994,35;39935,4;36387,8;40315,67;62272,6;36286,26
2018-01-31;37963,65;39911,62;36365,03;40286,61;62231,69;36257,62
