Fecha;A;B;C;D;E
2017-01-01;3,05682055675e+12;4,14891078e+12;1,21725275372e+13;6,34450834013e+12;4,43061125980e+12
2017-01-02;3,05682055675e+12;4,14891078e+12;1,21725275372e+13;6,34450834013e+12;4,43061125980e+12
2017-01-03;3,05301006155e+12;4,15266865886e+12;1,22021480358e+13;6,34759952817e+12;4,41889500236e+12
2017-01-04;3,07305442039e+12;4,17578098517e+12;1,22562863691e+13;6,37194727685e+12;4,43354294134e+12
2017-01-05;3,08021807557e+12;4,18635027949e+12;1,22883785468e+13;6,38885350841e+12;4,44545093812e+12
2017-01-06;3,07358480267e+12;4,18079983362e+12;1,2278987159e+13;6,38841367073e+12;4,44817900221e+12
2017-01-07;3,07358480267e+12;4,18079983362e+12;1,2278987159e+13;6,38841367073e+12;4,44817900221e+12
2017-01-08;3,07358480267e+12;4,18079983362e+12;1,2278987159e+13;6,38841367073e+12;4,44817900221e+12
2017-01-09;3,07037636874e+12;4,17756071127e+12;1,22673540894e+13;6,38029989638e+12;4,44239003732e+12
2017-01-10;3,08347258032e+12;4,19091074374e+12;1,22958376578e+13;6,38387390561e+12;4,44395874836e+12
2017-01-11;3,09073775857e+12;4,19826417438e+12;1,23047856941e+13;6,38221725644e+12;4,44309246867e+12
2017-01-12;3,10908857632e+12;4,21989346615e+12;1,23458933859e+13;6,38589231224e+12;4,44571121957e+12
2017-01-13;3,08869749122e+12;4,20405002367e+12;1,23200550099e+13;6,38174616255e+12;4,45419296706e+12
2017-01-14;3,08869749122e+12;4,20405002367e+12;1,23200550099e+13;6,38174616255e+12;4,45419296706e+12
2017-01-15;3,08869749122e+12;4,20405002367e+12;1,23200550099e+13;6,38174616255e+12;4,45419296706e+12
2017-01-16;3,07139469504e+12;4,19036024895e+12;1,22963820581e+13;6,36530638465e+12;4,4300210237e+12
2017-01-17;3,07407981727e+12;4,19328168998e+12;1,23008951925e+13;6,36403214914e+12;4,43205101024e+12
2017-01-18;3,06050867195e+12;4,18208182439e+12;1,22763512563e+13;6,35748836898e+12;4,43385433544e+12
2017-01-19;3,06861623688e+12;4,19071266666e+12;1,22880917071e+13;6,3552894275e+12;4,43062843648e+12
2017-01-20;3,06532305092e+12;4,18775071079e+12;1,22805244351e+13;6,35144502627e+12;4,43261074138e+12
2017-01-21;3,06532305092e+12;4,18775071079e+12;1,22805244351e+13;6,35144502627e+12;4,43261074138e+12
2017-01-22;3,06532305092e+12;4,18775071079e+12;1,22805244351e+13;6,35144502627e+12;4,43261074138e+12
2017-01-23;3,06590471681e+12;4,18875811533e+12;1,22923264993e+13;6,35992967513e+12;4,43860099548e+12
2017-01-24;3,04739643143e+12;4,17003908046e+12;1,22529430844e+13;6,34859550063e+12;4,43619768940e+12
2017-01-25;3,06102159563e+12;4,18506853359e+12;1,22797753699e+13;6,35466657008e+12;4,43820757564e+12
2017-01-26;3,07083555647e+12;4,19497671789e+12;1,22956937228e+13;6,35934474424e+12;4,44027675196e+12
2017-01-27;3,06843916386e+12;4,1930598257e+12;1,22893353968e+13;6,35567084411e+12;4,4387036496e+12
2017-01-28;3,06843916386e+12;4,1930598257e+12;1,22893353968e+13;6,35567084411e+12;4,4387036496e+12
2017-01-29;3,06843916386e+12;4,1930598257e+12;1,22893353968e+13;6,35567084411e+12;4,4387036496e+12
2017-01-30;3,07179882325e+12;4,19496604225e+12;1,22945265302e+13;6,35643985972e+12;4,43924274003e+12
2017-01-31;3,04980242431e+12;4,16706457928e+12;1,22343632692e+13;6,40043555469e+12;4,43803042144e+12
2017-02-01;3,02959458555e+12;4,14839478606e+12;1,22036606098e+13;6,3892770903e+12;4,41667882597e+12
2017-02-02;3,03698357153e+12;4,158235846e+12;1,22301122569e+13;6,39889098686e+12;4,42358274436e+12
