AFP;CAPITAL;CAPITAL;CUPRUM;CUPRUM;HABITAT;HABITAT;MODELO;MODELO;PLANVITAL;PLANVITAL;PROVIDA;PROVIDA
Item;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio
Fecha;;;;;;;;;;;;
2017-01-01;29476,41;4387942523685;31290,18;3288356313289;31485,9;4882739000071;30136,73;319843570869;28877,6;769413808761;28996,99;6344508340133
2017-01-02;29476,41;4387942523685;31290,18;3288356313289;31485,9;4882739000071;30136,73;319843570869;28877,6;769413808761;28996,99;6344508340133
2017-01-03;29549,72;4397865645597;31375,81;3289768506348;31573,65;4899650278786;30199,77;324900447770;28942,3;769940009798;29064,89;6347599528166
2017-01-04;29669,24;4415451211614;31495,68;3298252293855;31696,75;4918611632606;30304,17;326191375668;29070,28;774550255585;29183,06;6371947276852
2017-01-05;29766,0;4428529468886;31608,64;3310445827966;31792,49;4931417649047;30402,15;327401575651;29164,39;777030511116;29257,06;6388853508414
2017-01-06;29773,22;4428673606329;31607,22;3311099655544;31800,32;4932457903939;30406,89;327596090915;29184,42;777578292919;29259,53;6388413670734
2017-01-07;29773,22;4428673606329;31607,22;3311099655544;31800,32;4932457903939;30406,89;327596090915;29184,42;777578292919;29259,53;6388413670734
2017-01-08;29773,22;4428673606329;31607,22;3311099655544;31800,32;4932457903939;30406,89;327596090915;29184,42;777578292919;29259,53;6388413670734
2017-01-09;29747,12;4423349604740;31559,49;3306380791889;31776,62;4925713793051;30362,45;327015976372;29154,2;776880471060;29228,73;6380299896384
2017-01-10;29786,19;4427253848906;31597,87;3308448814537;31819,46;4931683430839;30402,02;327107060643;29180,44;777514193042;29268,37;6383873905613
2017-01-11;29773,79;4425233346761;31592,58;3308325556048;31799,58;4929362268939;30386,44;327186641856;29178,64;777505129729;29257,34;6382217256436
2017-01-12;29809,33;4431672143811;31647,73;3310803554762;31838,46;4923091879755;30421,89;328128205478;29212,52;778689088493;29295,51;6385892312243
2017-01-13;29772,33;4420047838600;31606,19;3307049283349;31805,3;4920932594337;30385,76;327387531930;29177,09;778570472042;29269,11;6381746162552
2017-01-14;29772,33;4420047838600;31606,19;3307049283349;31805,3;4920932594337;30385,76;327387531930;29177,09;778570472042;29269,11;6381746162552
2017-01-15;29772,33;4420047838600;31606,19;3307049283349;31805,3;4920932594337;30385,76;327387531930;29177,09;778570472042;29269,11;6381746162552
2017-01-16;29739,19;4416599461818;31562,84;3301129500385;31774,61;4920042088085;30353,99;331296591691;29154,58;774158258120;29244,65;6365306384647
2017-01-17;29735,56;4416380523101;31563,11;3300235868725;31772,44;4919388449355;30349,88;331648811133;29152,92;775714883279;29240,54;6364032149144
2017-01-18;29692,73;4410143661190;31521,05;3295742893033;31736,91;4914515736275;30302,61;331126370167;29108,12;774854955074;29209,14;6357488368984
2017-01-19;29689,77;4409954966048;31512,71;3294587969997;31737,8;4913218988906;30296,63;330949430698;29104,11;774617389079;29200,29;6355289427500
2017-01-20;29679,44;4407353903130;31495,39;3292073340436;31726,67;4910749047355;30291,58;330896739688;29089,36;774214954190;29189,46;6351445026271
2017-01-21;29679,44;4407353903130;31495,39;3292073340436;31726,67;4910749047355;30291,58;330896739688;29089,36;774214954190;29189,46;6351445026271
2017-01-22;29679,44;4407353903130;31495,39;3292073340436;31726,67;4910749047355;30291,58;330896739688;29089,36;774214954190;29189,46;6351445026271
2017-01-23;29705,3;4413056919695;31527,57;3296366831572;31744,72;4912092197779;30313,15;331047254721;29114,65;775338272857;29223,67;6359929675133
2017-01-24;29644,92;4401529198651;31466,05;3290484783631;31685,17;4900970727615;30244,54;330263414660;29055,37;773619311403;29173,59;6348595500631
2017-01-25;29675,18;4406985019979;31500,45;3292021994356;31726,26;4908261561382;30287,21;330706777809;29088,13;774209142571;29198,86;6354666570080
2017-01-26;29695,9;4409112246750;31528,29;3294037244560;31759,21;4910626217836;30319,6;331014027104;29117,13;774962956849;29219,01;6359344744238
2017-01-27;29676,99;4405789102351;31505,61;3291427903455;31732,73;4906878864060;30306,91;331040340538;29092,88;774739900873;29200,97;6355670844109
2017-01-28;29676,99;4405789102351;31505,61;3291427903455;31732,73;4906878864060;30306,91;331040340538;29092,88;774739900873;29200,97;6355670844109
2017-01-29;29676,99;4405789102351;31505,61;3291427903455;31732,73;4906878864060;30306,91;331040340538;29092,88;774739900873;29200,97;6355670844109
2017-01-30;29690,1;4405581649402;31517,68;3292766145920;31749,26;4907567322063;30312,43;331110967831;29103,75;775011482462;29206,98;6356439859722
2017-01-31;29656,63;4427535381909;31483,11;3303943623862;31717,01;4935161040563;30297,16;331514232677;29072,57;778695647420;29188,15;6400435554687
2017-02-01;29640,5;4421029854455;31471,66;3298596356076;31710,12;4936359130873;30285,65;336340326692;29067,96;777401909303;29184,61;6389277090303
2017-02-02;29702,4;4429267240339;31532,45;3301936535369;31764,93;4942379854004;30335,78;337105189325;29123,2;779402154220;29240,15;6398890986858
2017-02-03;29704,06;4428026346737;31534,23;3300357586570;31772,92;4943825455505;30335,68;337512131662;29124,91;779053665401;29248,74;6399274948306
2017-02-04;29704,06;4428026346737;31534,23;3300357586570;31772,92;4943825455505;30335,68;337512131662;29124,91;779053665401;29248,74;6399274948306
2017-02-05;29704,06;4428026346737;31534,23;3300357586570;31772,92;4943825455505;30335,68;337512131662;29124,91;779053665401;29248,74;6399274948306
2017-02-06;29733,86;4431950716267;31564,81;3303413406027;31795,33;4945476268417;30356,91;337978149266;29149,62;779821861602;29274,75;6403807947609
2017-02-07;29701,91;4427411702247;31531,61;3300002475886;31765,84;4940621908828;30321,85;338071346653;29119,45;778750247647;29242,97;6398541128889
2017-02-08;29812,74;4443132567678;31645,54;3309472122126;31873,2;4958059157007;30423,76;339297884994;29220,03;781513679616;29349,1;6421487070936
2017-02-09;29852,18;4449183891978;31692,28;3314234638137;31906,21;4959911380855;30478,58;339307319644;29257,61;781833625260;29392,31;6425356966419
2017-02-10;29894,07;4455712526054;31729,69;3318502612008;31949,92;4956350668941;30516,4;340074699546;29299,92;782819886154;29437,5;6434570627748
2017-02-11;29894,07;4455712526054;31729,69;3318502612008;31949,92;4956350668941;30516,4;340074699546;29299,92;782819886154;29437,5;6434570627748
2017-02-12;29894,07;4455712526054;31729,69;3318502612008;31949,92;4956350668941;30516,4;340074699546;29299,92;782819886154;29437,5;6434570627748
2017-02-13;29886,54;4445306842000;31716,53;3312728867260;31942,6;4955091361481;30503,84;340254424279;29287,34;782613459728;29417,82;6424372930725
2017-02-14;29915,47;4450673409581;31741,12;3315665638732;31972,54;4961001905443;30533,05;341217480229;29304,67;780423808493;29433,7;6425883100625
2017-02-15;29928,61;4455443602140;31749,56;3313449374713;31984,98;4969904747291;30531,32;346194051326;29316,87;780465994357;29448,16;6423206165555
2017-02-16;29915,61;4453029365797;31728,16;3311006980334;31973,62;4966696426600;30520,99;346218435270;29291,73;780001920054;29428,93;6414011125183
2017-02-17;29885,8;4448656095814;31699,06;3306066918088;31946,76;4962054835548;30508,95;345734297065;29265,17;780195180951;29396,39;6408431310818
2017-02-18;29885,8;4448656095814;31699,06;3306066918088;31946,76;4962054835548;30508,95;345734297065;29265,17;780195180951;29396,39;6408431310818
2017-02-19;29885,8;4448656095814;31699,06;3306066918088;31946,76;4962054835548;30508,95;345734297065;29265,17;780195180951;29396,39;6408431310818
2017-02-20;29953,61;4458666006155;31776,16;3313970450382;32017,76;4971834447494;30583,44;346553792329;29340,09;782174049817;29463,78;6422438506017
2017-02-21;29926,86;4454299037513;31751,17;3311157075249;31988,55;4967087098635;30561,11;346353837449;29303,77;781221395985;29438,9;6416540423284
2017-02-22;29945,29;4458152399057;31770,86;3311847021748;32007,22;4971260404480;30585,8;346767426073;29322,93;781999172554;29448,31;6421051648717
2017-02-23;29967,9;4460453157870;31792,53;3314045614445;32035,88;4974223119427;30605,29;347002061583;29338,52;782408811266;29468,68;6425755284292
2017-02-24;30004,76;4465548537093;31830,04;3318127424922;32078,9;4980938184361;30630,98;347301913159;29368,2;783144889561;29505,58;6433454968927
2017-02-25;30004,76;4465548537093;31830,04;3318127424922;32078,9;4980938184361;30630,98;347301913159;29368,2;783144889561;29505,58;6433454968927
2017-02-26;30004,76;4465548537093;31830,04;3318127424922;32078,9;4980938184361;30630,98;347301913159;29368,2;783144889561;29505,58;6433454968927
2017-02-27;30060,27;4475113938333;31894,07;3325655832576;32140,67;4990596704788;30693,41;347975297775;29423,44;785086743258;29568,05;6449599933333
2017-02-28;30046,54;4498735720962;31884,17;3336795486406;32116,84;5015856399175;30690,02;348227212008;29398,01;788524042412;29560,47;6492037448647
