Fecha;A;B;C;D;E
2018-01-01;43326,16;36255,69;36487,73;30349,07;36098,92
2018-01-02;43355,66;36300,03;36527,81;30368,47;36135,24
2018-01-03;43375,67;36309,63;36514,45;30357,79;36127,31
2018-01-04;43368,01;36321,47;36536,98;30373,04;36139,2
2018-01-05;43606,07;36454,91;36621,63;30411,53;36119,73
2018-01-06;43606,07;36454,91;36621,63;30411,53;36119,73
2018-01-07;43606,07;36454,91;36621,63;30411,53;36119,73
2018-01-08;43944,34;36678,71;36787,41;30496,1;36155,71
2018-01-09;44061,48;36754,6;36833,72;30510,92;36156,72
2018-01-10;44125,8;36790,04;36857,47;30525,03;36162,76
2018-01-11;44149,46;36776,54;36806,15;30451,78;36061,59
2018-01-12;44213,0;36806,32;36805,65;30460,33;36064,19
2018-01-13;44213,0;36806,32;36805,65;30460,33;36064,19
2018-01-14;44213,0;36806,32;36805,65;30460,33;36064,19
2018-01-15;44220,31;36808,99;36793,57;30460,82;36078,65
2018-01-16;44220,31;36808,99;36793,57;30460,82;36078,65
2018-01-17;44290,6;36864,61;36860,67;30502,96;36094,07
2018-01-18;44606,55;37071,36;37036,11;30609,71;36182,01
2018-01-19;44703,8;37143,85;37085,93;30615,95;36180,53
2018-01-20;44703,8;37143,85;37085,93;30615,95;36180,53
2018-01-21;44703,8;37143,85;37085,93;30615,95;36180,53
2018-01-22;44958,84;37301,86;37190,12;30664,97;36191,47
2018-01-23;45063,04;37357,53;37206,92;30670,65;36191,51
2018-01-24;45284,1;37505,52;37320,71;30724,91;36228,36
2018-01-25;45235,83;37476,45;37322,51;30757,09;36248,5
2018-01-26;45041,34;37378,04;37292,37;30772,71;36294,77
2018-01-27;45041,34;37378,04;37292,37;30772,71;36294,77
2018-01-28;45041,34;37378,04;37292,37;30772,71;36294,77
2018-01-29;45237,46;37504,52;37360,35;30804,8;36319,65
2018-01-30;45388,01;37607,96;37427,65;30801,54;36286,26
2018-01-31;45068,68;37407,91;37298,53;30740,16;36257,62
2018-02-01;45079,34;37405,22;37261,8;30711,32;36242,25
2018-02-02;44906,87;37296,31;37184,11;30680,87;36219,81
2018-02-03;44906,87;37296,31;37184,11;30680,87;36219,81
2018-02-04;44906,87;37296,31;37184,11;30680,87;36219,81
2018-02-05;44458,65;37032,15;37013,08;30576,61;36152,71
2018-02-06;43835,92;36676,53;36808,12;30466,57;36105,34
2018-02-07;43334,82;36315,68;36528,22;30392,47;36155,84
2018-02-08;43009,0;36139,78;36398,35;30321,18;36120,15
2018-02-09;42768,83;36045,71;36421,97;30355,97;36155,32
2018-02-10;42768,83;36045,71;36421,97;30355,97;36155,32
2018-02-11;42768,83;36045,71;36421,97;30355,97;36155,32
2018-02-12;42474,54;35813,58;36242,04;30297,63;36186,83
2018-02-13;42644,66;35905,6;36271,94;30310,98;36184,77
2018-02-14;42501,59;35806,82;36210,2;30292,67;36192,99
2018-02-15;42817,09;35994,05;36323,71;30348,28;36236,9
2018-02-16;43087,95;36162,74;36425,29;30381,97;36230,02
