Fecha;A;B;C;D;E
2017-01-01;37526,3;33851,8;39706,69;31290,18;38919,55
2017-01-02;37526,3;33851,8;39706,69;31290,18;38919,55
2017-01-03;37694,75;33985,19;39857,47;31375,81;38986,3
2017-01-04;37953,32;34174,03;40029,23;31495,68;39085,23
2017-01-05;38062,97;34275,53;40151,96;31608,64;39208,65
2017-01-06;37973,89;34227,06;40129,35;31607,22;39242,34
2017-01-07;37973,89;34227,06;40129,35;31607,22;39242,34
2017-01-08;37973,89;34227,06;40129,35;31607,22;39242,34
2017-01-09;37929,91;34191,39;40071,74;31559,49;39177,87
2017-01-10;38075,76;34284,19;40160,82;31597,87;39196,88
2017-01-11;38171,52;34343,02;40186,59;31592,58;39165,03
2017-01-12;38376,92;34482,6;40304,1;31647,73;39201,04
2017-01-13;38073,26;34303,06;40176,32;31606,19;39222,32
2017-01-14;38073,26;34303,06;40176,32;31606,19;39222,32
2017-01-15;38073,26;34303,06;40176,32;31606,19;39222,32
2017-01-16;37997,43;34257,64;40123,15;31562,84;39191,23
2017-01-17;38005,34;34257,54;40123,89;31563,11;39182,81
2017-01-18;37859,52;34157,18;40035,99;31521,05;39163,35
2017-01-19;37973,68;34235,44;40083,08;31512,71;39137,7
2017-01-20;37942,28;34210,51;40052,62;31495,39;39117,55
2017-01-21;37942,28;34210,51;40052,62;31495,39;39117,55
2017-01-22;37942,28;34210,51;40052,62;31495,39;39117,55
2017-01-23;37957,64;34228,02;40093,19;31527,57;39153,77
2017-01-24;37729,6;34073,66;39972,41;31466,05;39130,72
2017-01-25;37917,11;34198,29;40069,08;31500,45;39156,49
2017-01-26;38037,25;34284,49;40122,81;31528,29;39176,93
2017-01-27;38014,84;34271,64;40103,7;31505,61;39152,95
2017-01-28;38014,84;34271,64;40103,7;31505,61;39152,95
2017-01-29;38014,84;34271,64;40103,7;31505,61;39152,95
2017-01-30;38054,05;34290,4;40119,01;31517,68;39156,32
2017-01-31;37836,98;34137,85;40006,5;31483,11;39160,78
2017-02-01;37664,7;34029,2;39940,46;31471,66;39186,5
2017-02-02;37765,3;34113,35;40029,0;31532,45;39247,27
2017-02-03;37664,49;34062,07;39998,77;31534,23;39277,36
2017-02-04;37664,49;34062,07;39998,77;31534,23;39277,36
2017-02-05;37664,49;34062,07;39998,77;31534,23;39277,36
2017-02-06;37767,4;34138,09;40064,82;31564,81;39287,75
2017-02-07;37682,99;34082,93;40013,75;31531,61;39278,58
2017-02-08;37938,25;34271,09;40203,28;31645,54;39363,67
2017-02-09;38041,89;34351,22;40281,55;31692,28;39411,23
2017-02-10;38180,61;34457,45;40362,75;31729,69;39453,77
2017-02-11;38180,61;34457,45;40362,75;31729,69;39453,77
2017-02-12;38180,61;34457,45;40362,75;31729,69;39453,77
2017-02-13;38140,06;34433,87;40338,53;31716,53;39440,67
