Fecha;A;B;C;D;E
2017-01-01;37233,49;32528,78;37945,38;30136,73;38956,37
2017-01-02;37233,49;32528,78;37945,38;30136,73;38956,37
2017-01-03;37385,54;32647,78;38063,61;30199,77;38997,4
2017-01-04;37650,29;32833,83;38232,4;30304,17;39073,89
2017-01-05;37782,19;32942,06;38359,12;30402,15;39170,96
2017-01-06;37705,37;32905,08;38350,06;30406,89;39189,67
2017-01-07;37705,37;32905,08;38350,06;30406,89;39189,67
2017-01-08;37705,37;32905,08;38350,06;30406,89;39189,67
2017-01-09;37656,71;32869,47;38290,4;30362,45;39149,45
2017-01-10;37816,36;32965,52;38374,29;30402,02;39157,74
2017-01-11;37892,84;33010,74;38392,44;30386,44;39125,27
2017-01-12;38094,09;33141,93;38500,35;30421,89;39139,99
2017-01-13;37819,77;32980,24;38386,68;30385,76;39161,21
2017-01-14;37819,77;32980,24;38386,68;30385,76;39161,21
2017-01-15;37819,77;32980,24;38386,68;30385,76;39161,21
2017-01-16;37755,53;32940,19;38342,91;30353,99;39128,1
2017-01-17;37757,77;32937,57;38342,56;30349,88;39119,86
2017-01-18;37611,7;32836,34;38254,2;30302,61;39099,53
2017-01-19;37731,17;32917,04;38302,25;30296,63;39072,31
2017-01-20;37699,67;32901,21;38287,75;30291,58;39069,3
2017-01-21;37699,67;32901,21;38287,75;30291,58;39069,3
2017-01-22;37699,67;32901,21;38287,75;30291,58;39069,3
2017-01-23;37707,04;32898,31;38305,06;30313,15;39099,33
2017-01-24;37470,1;32740,97;38170,69;30244,54;39062,33
2017-01-25;37672,39;32877,53;38281,12;30287,21;39089,46
2017-01-26;37807,84;32971,71;38349,78;30319,6;39113,8
2017-01-27;37785,78;32963,88;38336,84;30306,91;39107,93
2017-01-28;37785,78;32963,88;38336,84;30306,91;39107,93
2017-01-29;37785,78;32963,88;38336,84;30306,91;39107,93
2017-01-30;37829,04;32985,99;38350,21;30312,43;39107,3
2017-01-31;37617,6;32843,32;38251,08;30297,16;39118,26
2017-02-01;37455,92;32741,56;38188,53;30285,65;39131,2
2017-02-02;37559,36;32818,41;38264,66;30335,78;39172,8
2017-02-03;37464,72;32767,48;38231,35;30335,68;39189,5
2017-02-04;37464,72;32767,48;38231,35;30335,68;39189,5
2017-02-05;37464,72;32767,48;38231,35;30335,68;39189,5
2017-02-06;37558,94;32835,28;38288,62;30356,91;39204,78
2017-02-07;37471,04;32781,43;38238,64;30321,85;39181,35
2017-02-08;37716,17;32954,5;38411,04;30423,76;39251,42
2017-02-09;37818,78;33031,15;38491,61;30478,58;39300,42
2017-02-10;37973,96;33145,79;38579,17;30516,4;39336,36
2017-02-11;37973,96;33145,79;38579,17;30516,4;39336,36
2017-02-12;37973,96;33145,79;38579,17;30516,4;39336,36
2017-02-13;37910,84;33117,11;38546,35;30503,84;39335,04
2017-02-14;38041,07;33211,97;38617,95;30533,05;39352,66
2017-02-15;38028,89;33205,1;38612,52;30531,32;39362,93
2017-02-16;38052,85;33211,72;38606,09;30520,99;39350,13
2017-02-17;38036,32;33206,62;38598,86;30508,95;39341,74
2017-02-18;38036,32;33206,62;38598,86;30508,95;39341,74
2017-02-19;38036,32;33206,62;38598,86;30508,95;39341,74
2017-02-20;38247,89;33350,95;38729,64;30583,44;39386,22
2017-02-21;38225,64;33337,28;38702,32;30561,11;39368,27
2017-02-22;38402,64;33443,53;38775,52;30585,8;39366,1
2017-02-23;38378,43;33435,7;38779,17;30605,29;39393,03
2017-02-24;38371,32;33443,87;38805,17;30630,98;39420,24
2017-02-25;38371,32;33443,87;38805,17;30630,98;39420,24
2017-02-26;38371,32;33443,87;38805,17;30630,98;39420,24
2017-02-27;38490,14;33520,64;38895,7;30693,41;39473,24
2017-02-28;38463,68;33506,82;38882,24;30690,02;39477,84
2017-03-01;38579,71;33590,87;38973,59;30744,44;39514,99
2017-03-02;38932,9;33801,53;39100,73;30789,96;39521,97
2017-03-03;38979,77;33849,67;39150,88;30814,66;39538,37
2017-03-04;38979,77;33849,67;39150,88;30814,66;39538,37
2017-03-05;38979,77;33849,67;39150,88;30814,66;39538,37
2017-03-06;39050,11;33890,35;39189,48;30844,84;39562,41
2017-03-07;39232,99;34018,08;39288,56;30871,12;39560,88
2017-03-08;39300,43;34069,14;39335,38;30885,25;39567,57
2017-03-09;39278,46;34057,09;39308,98;30856,28;39551,96
2017-03-10;39326,21;34063,7;39289,31;30824,09;39519,81
2017-03-11;39326,21;34063,7;39289,31;30824,09;39519,81
2017-03-12;39326,21;34063,7;39289,31;30824,09;39519,81
2017-03-13;39429,82;34115,97;39320,18;30829,56;39498,92
2017-03-14;39672,46;34279,78;39441,94;30858,87;39500,53
2017-03-15;39809,9;34354,4;39467,03;30836,01;39464,45
2017-03-16;40054,38;34498,37;39547,51;30864,42;39460,62
2017-03-17;40024,39;34524,16;39610,22;30922,52;39525,17
2017-03-18;40024,39;34524,16;39610,22;30922,52;39525,17
2017-03-19;40024,39;34524,16;39610,22;30922,52;39525,17
