Fecha;CAPITAL;CUPRUM;HABITAT;MODELO;PLANVITAL;PROVIDA
2018-01-01;30906,26;32722,58;33169,12;31678,63;30091,3;30349,07
2018-01-02;30945,76;32761,63;33207,85;31720,05;30126,17;30368,47
2018-01-03;30942,17;32754,01;33198,31;31702,63;30119,57;30357,79
2018-01-04;30954,07;32762,02;33210,22;31706,17;30133,89;30373,04
2018-01-05;30989,92;32811,1;33256,62;31738,57;30164,68;30411,53
2018-01-06;30989,92;32811,1;33256,62;31738,57;30164,68;30411,53
2018-01-07;30989,92;32811,1;33256,62;31738,57;30164,68;30411,53
2018-01-08;31081,11;32895,81;33346,97;31828,61;30251,75;30496,1
2018-01-09;31094,69;32908,41;33364,93;31845,08;30263,67;30510,92
2018-01-10;31107,76;32929,62;33384,67;31866,89;30273,66;30525,03
2018-01-11;31039,66;32860,24;33306,06;31794,58;30214,62;30451,78
2018-01-12;31056,15;32875,64;33324,31;31813,03;30232,9;30460,33
2018-01-13;31056,15;32875,64;33324,31;31813,03;30232,9;30460,33
2018-01-14;31056,15;32875,64;33324,31;31813,03;30232,9;30460,33
2018-01-15;31060,89;32879,28;33325,1;31811,75;30230,27;30460,82
2018-01-16;31060,89;32879,28;33325,1;31811,75;30230,27;30460,82
2018-01-17;31096,0;32921,92;33373,83;31855,77;30264,84;30502,96
2018-01-18;31202,83;33023,58;33481,29;31966,22;30366,54;30609,71
2018-01-19;31208,26;33029,05;33479,22;31966,74;30373,92;30615,95
2018-01-20;31208,26;33029,05;33479,22;31966,74;30373,92;30615,95
2018-01-21;31208,26;33029,05;33479,22;31966,74;30373,92;30615,95
2018-01-22;31259,46;33082,54;33527,73;32022,26;30421,56;30664,97
2018-01-23;31266,54;33082,92;33541,71;32023,77;30428,4;30670,65
2018-01-24;31322,02;33136,04;33607,4;32085,33;30487,87;30724,91
2018-01-25;31351,79;33160,67;33638,98;32107,65;30501,61;30757,09
2018-01-26;31363,91;33170,76;33653,2;32129,72;30507,13;30772,71
2018-01-27;31363,91;33170,76;33653,2;32129,72;30507,13;30772,71
2018-01-28;31363,91;33170,76;33653,2;32129,72;30507,13;30772,71
2018-01-29;31389,77;33198,57;33679,91;32155,79;30538,65;30804,8
2018-01-30;31380,84;33208,44;33676,99;32150,29;30540,74;30801,54
2018-01-31;31321,82;33140,68;33612,44;32085,39;30483,36;30740,16
2018-02-01;31293,58;33112,77;33581,38;32055,01;30455,77;30711,32
2018-02-02;31274,34;33082,16;33553,48;32028,62;30420,31;30680,87
2018-02-03;31274,34;33082,16;33553,48;32028,62;30420,31;30680,87
2018-02-04;31274,34;33082,16;33553,48;32028,62;30420,31;30680,87
2018-02-05;31171,47;32996,74;33448,67;31924,87;30324,84;30576,61
2018-02-06;31066,46;32890,57;33327,11;31808,33;30216,99;30466,57
2018-02-07;31005,38;32793,99;33233,44;31734,13;30154,7;30392,47
2018-02-08;30924,0;32716,26;33161,54;31655,76;30070,24;30321,18
2018-02-09;30947,62;32758,47;33200,26;31682,21;30105,59;30355,97
2018-02-10;30947,62;32758,47;33200,26;31682,21;30105,59;30355,97
2018-02-11;30947,62;32758,47;33200,26;31682,21;30105,59;30355,97
2018-02-12;30907,73;32699,25;33141,69;31626,76;30063,33;30297,63
2018-02-13;30916,43;32689,86;33153,34;31631,55;30074,14;30310,98
2018-02-14;30903,44;32664,75;33133,16;31609,73;30057,02;30292,67
2018-02-15;30969,52;32726,66;33184,58;31664,25;30109,31;30348,28
2018-02-16;30997,93;32765,61;33230,59;31703,55;30140,7;30381,97
2018-02-17;30997,93;32765,61;33230,59;31703,55;30140,7;30381,97
2018-02-18;30997,93;32765,61;33230,59;31703,55;30140,7;30381,97
2018-02-19;31048,59;32825,55;33295,16;31766,27;30187,98;30432,92
2018-02-20;31104,51;32888,05;33353,35;31818,84;30244,64;30493,37
2018-02-21;31119,81;32902,24;33374,21;31832,72;30257,43;30505,38
2018-02-22;31138,67;32927,5;33398,35;31855,06;30272,5;30527,19
2018-02-23;31155,63;32942,43;33412,89;31869,6;30282,94;30536,62
2018-02-24;31155,63;32942,43;33412,89;31869,6;30282,94;30536,62
2018-02-25;31155,63;32942,43;33412,89;31869,6;30282,94;30536,62
2018-02-26;31159,97;32945,99;33416,4;31879,07;30286,87;30544,24
2018-02-27;31162,77;32949,91;33417,7;31884,14;30287,6;30552,77
2018-02-28;31114,67;32907,76;33374,03;31831,24;30247,13;30503,27
