Fecha;A;B;C;D;E
2018-01-01;44790,45;38771,59;42479,55;33169,12;36157,33
2018-01-02;44839,67;38820,14;42543,41;33207,85;36193,06
2018-01-03;44850,09;38835,84;42537,97;33198,31;36189,27
2018-01-04;44838,63;38850,06;42546,33;33210,22;36206,59
2018-01-05;45085,63;39001,77;42659,39;33256,62;36190,53
2018-01-06;45085,63;39001,77;42659,39;33256,62;36190,53
2018-01-07;45085,63;39001,77;42659,39;33256,62;36190,53
2018-01-08;45442,33;39241,31;42850,22;33346,97;36235,88
2018-01-09;45564,09;39326,06;42907,08;33364,93;36238,56
2018-01-10;45632,1;39372,94;42942,4;33384,67;36247,23
2018-01-11;45653,14;39358,23;42890,22;33306,06;36151,7
2018-01-12;45717,53;39383,83;42904,51;33324,31;36158,24
2018-01-13;45717,53;39383,83;42904,51;33324,31;36158,24
2018-01-14;45717,53;39383,83;42904,51;33324,31;36158,24
2018-01-15;45722,33;39386,77;42902,28;33325,1;36173,81
2018-01-16;45722,33;39386,77;42902,28;33325,1;36173,81
2018-01-17;45774,58;39445,24;42985,33;33373,83;36192,58
2018-01-18;46089,09;39647,32;43161,43;33481,29;36283,11
2018-01-19;46181,36;39721,09;43208,71;33479,22;36283,04
2018-01-20;46181,36;39721,09;43208,71;33479,22;36283,04
2018-01-21;46181,36;39721,09;43208,71;33479,22;36283,04
2018-01-22;46439,39;39889,01;43334,03;33527,73;36300,54
2018-01-23;46565,83;39970,67;43370,85;33541,71;36308,2
2018-01-24;46786,94;40127,38;43515,42;33607,4;36339,63
2018-01-25;46715,28;40078,66;43509,07;33638,98;36360,32
2018-01-26;46503,76;39975,45;43471,9;33653,2;36402,34
2018-01-27;46503,76;39975,45;43471,9;33653,2;36402,34
2018-01-28;46503,76;39975,45;43471,9;33653,2;36402,34
2018-01-29;46726,58;40123,04;43548,89;33679,91;36427,22
2018-01-30;46887,54;40228,28;43616,5;33676,99;36387,8
2018-01-31;46546,31;40022,96;43472,0;33612,44;36365,03
2018-02-01;46541,54;40013,35;43436,38;33581,38;36356,36
2018-02-02;46363,27;39900,6;43364,69;33553,48;36333,23
2018-02-03;46363,27;39900,6;43364,69;33553,48;36333,23
2018-02-04;46363,27;39900,6;43364,69;33553,48;36333,23
2018-02-05;45897,75;39620,42;43165,03;33448,67;36264,27
2018-02-06;45212,47;39218,66;42903,78;33327,11;36209,2
2018-02-07;44690,63;38825,18;42580,46;33233,44;36255,64
2018-02-08;44378,25;38651,7;42436,44;33161,54;36214,13
2018-02-09;44131,77;38554,45;42454,81;33200,26;36266,23
2018-02-10;44131,77;38554,45;42454,81;33200,26;36266,23
2018-02-11;44131,77;38554,45;42454,81;33200,26;36266,23
2018-02-12;43816,43;38304,67;42256,25;33141,69;36299,56
2018-02-13;43989,07;38409,79;42295,8;33153,34;36301,85
2018-02-14;43845,35;38309,61;42225,59;33133,16;36305,61
2018-02-15;44150,06;38482,37;42348,18;33184,58;36347,04
