
Fecha;CAPITAL;;CUPRUM;;HABITAT;;MODELO;;PLANVITAL;;PROVIDA
;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio
2016-01-01;31.136,95;3610440138106;32.564,13;3369628456973;32.467,67;4839144670254;30.979,52;980834680735;31.654,77;498563781389;31.019,69;4549759773837
2016-01-02;31.136,95;3610440138106;32.564,13;3369628456973;32.467,67;4839144670254;30.979,52;980834680735;31.654,77;498563781389;31.019,69;4549759773837
2016-01-03;31.136,95;3610440138106;32.564,13;3369628456973;32.467,67;4839144670254;30.979,52;980834680735;31.654,77;498563781389;31.019,69;4549759773837
2016-01-04;31.146,56;3611707476702;32.574,89;3387558011109;32.478,47;4854845409516;30.993,66;981829256666;31.668,36;496813261198;31.031,55;4550499395708
2016-01-05;30.952,17;3591752464644;32.378,80;3369155452751;32.272,33;4826136969207;30.784,39;975971813199;31.469,46;493880840095;30.831,72;4521982043366
2016-01-06;30.924,51;3589777984687;32.333,56;3364746723048;32.231,92;4821628003735;30.748,73;975111862782;31.423,92;494744335685;30.796,84;4517583934422
2016-01-07;30.801,57;3575847693258;32.202,01;3351787381695;32.095,99;4801848557285;30.615,92;971391368786;31.301,95;493090687134;30.667,39;4499560508398
2016-01-08;30.552,74;3546598770876;31.951,92;3323023547137;31.839,99;4762079773465;30.348,89;963761763648;31.040,75;489167472231;30.414,69;4461574130096
2016-01-09;30.552,74;3546598770876;31.951,92;3323023547137;31.839,99;4762079773465;30.348,89;963761763648;31.040,75;489167472231;30.414,69;4461574130096
2016-01-10;30.552,74;3546598770876;31.951,92;3323023547137;31.839,99;4762079773465;30.348,89;963761763648;31.040,75;489167472231;30.414,69;4461574130096
2016-01-11;30.509,52;3542106068752;31.901,15;3317148251422;31.794,30;4755246223122;30.301,03;963178553104;30.986,74;488658684726;30.363,24;4454178632054
2016-01-12;30.579,10;3542806533121;31.971,95;3294125641664;31.852,23;4717379905520;30.370,51;967493358949;31.062,68;489911037435;30.434,71;4459921216693
2016-01-13;30.578,72;3535348108963;31.966,13;3268164843091;31.837,36;4687772566607;30.373,57;975895176770;31.051,34;491189598200;30.432,48;4457268671543
2016-01-14;30.414,61;3521664666633;31.788,18;3244295072505;31.670,08;4666480361561;30.202,27;974246593666;30.893,83;492219724820;30.259,78;4440915596203
2016-01-15;30.366,80;3513272951490;31.729,07;3235247453812;31.602,55;4650911919510;30.156,98;978096718072;30.826,74;490777716212;30.220,29;4435201923425
2016-01-16;30.366,80;3513272951490;31.729,07;3235247453812;31.602,55;4650911919510;30.156,98;978096718072;30.826,74;490777716212;30.220,29;4435201923425
2016-01-17;30.366,80;3513272951490;31.729,07;3235247453812;31.602,55;4650911919510;30.156,98;978096718072;30.826,74;490777716212;30.220,29;4435201923425
2016-01-18;30.179,97;3490147880508;31.538,31;3213414297682;31.425,78;4623880636003;29.961,83;972019797983;30.634,85;487669785705;30.026,31;4407349044835
2016-01-19;30.089,30;3479354174304;31.437,75;3201655809133;31.317,29;4605057994390;29.868,24;969355840736;30.530,57;487579833564;29.937,81;4393039870802
2016-01-20;30.106,77;3480582791225;31.452,76;3201134237212;31.335,68;4607539938060;29.894,04;970248474888;30.565,02;488485130154;29.956,69;4394525003067
2016-01-21;29.826,43;3435800651769;31.156,59;3138136244909;31.049,08;4511673970151;29.599,13;959934436516;30.282,68;483132243888;29.688,93;4348976113311
2016-01-22;29.772,64;3410438452957;31.101,57;3086069523240;30.979,69;4445795131393;29.553,56;957414957828;30.202,16;480967194720;29.645,61;4331325614036
2016-01-23;29.772,64;3410438452957;31.101,57;3086069523240;30.979,69;4445795131393;29.553,56;957414957828;30.202,16;480967194720;29.645,61;4331325614036
2016-01-24;29.772,64;3410438452957;31.101,57;3086069523240;30.979,69;4445795131393;29.553,56;957414957828;30.202,16;480967194720;29.645,61;4331325614036
2016-01-25;29.950,81;3426333897972;31.283,68;3094197381757;31.144,98;4454163373758;29.762,16;963983200895;30.363,71;483234538818;29.823,50;4355010228121
2016-01-26;29.961,21;3418040760397;31.290,25;3076115392849;31.165,86;4439769606235;29.755,05;962882759930;30.387,04;483063628218;29.818,48;4349635833572
2016-01-27;30.070,12;3422933154486;31.404,68;3069276594893;31.264,73;4441090438803;29.865,47;965975329705;30.478,85;484355510786;29.926,84;4360593178212
2016-01-28;29.986,48;3408838045024;31.316,02;3050832902004;31.183,05;4421783999727;29.775,72;962611708431;30.397,13;482838331618;29.837,68;4344529867961
2016-01-29;29.952,99;3398251082209;31.291,37;3043653001436;31.164,63;4402027107891;29.758,63;961248135516;30.368,44;481496730468;29.824,39;4326731261555
2016-01-30;29.952,99;3398251082209;31.291,37;3043653001436;31.164,63;4402027107891;29.758,63;961248135516;30.368,44;481496730468;29.824,39;4326731261555
2016-01-31;29.952,99;3398251082209;31.291,37;3043653001436;31.164,63;4402027107891;29.758,63;961248135516;30.368,44;481496730468;29.824,39;4326731261555
2016-02-01;30.264,40;3415134034076;31.620,71;3059284085836;31.473,25;4429795379128;30.081,74;971426497714;30.648,02;483873478140;30.143,43;4364655182893
2016-02-02;30.439,29;3427879739261;31.805,86;3067232349013;31.664,72;4450101586014;30.239,61;976525873186;30.823,79;487865108765;30.302,70;4384045796324
2016-02-03;30.193,96;3395529148953;31.539,74;3031697977151;31.405,93;4408741063657;29.987,63;968047040763;30.567,23;483540954126;30.048,31;4343408778052
2016-02-04;29.984,60;3367577257209;31.309,28;3004043093066;31.185,05;4375958653906;29.773,45;961279088684;30.368,04;480232044005;29.827,94;4309785280407
2016-02-05;29.848,56;3348230555531;31.168,71;2985544544952;31.045,93;4351689425004;29.641,54;957017346423;30.218,59;477838103013;29.701,23;4289459965867
2016-02-06;29.848,56;3348230555531;31.168,71;2985544544952;31.045,93;4351689425004;29.641,54;957017346423;30.218,59;477838103013;29.701,23;4289459965867
2016-02-07;29.848,56;3348230555531;31.168,71;2985544544952;31.045,93;4351689425004;29.641,54;957017346423;30.218,59;477838103013;29.701,23;4289459965867
2016-02-08;29.773,29;3334927780372;31.097,17;2972898758375;30.992,61;4340142426927;29.565,00;954693637999;30.152,79;476703625364;29.636,22;4278155111164
2016-02-09;29.793,65;3331883974507;31.119,08;2968897723855;31.019,24;4339714946339;29.578,13;955872081394;30.191,47;477642982884;29.658,37;4278403656230
2016-02-10;29.803,62;3328711978881;31.125,85;2964432953633;31.034,89;4338242120976;29.592,58;957095750235;30.197,26;477805343714;29.661,05;4276470706481
2016-02-11;29.724,12;3315542380257;31.045,91;2949234179249;30.960,23;4322881120482;29.510,45;956096827947;30.111,66;476817921080;29.581,84;4262947453663
2016-02-12;29.522,51;3289703950943;30.822,18;2921577592879;30.741,07;4289993643449;29.299,77;955985947737;29.916,13;475317626470;29.390,37;4234484341993
2016-02-13;29.522,51;3289703950943;30.822,18;2921577592879;30.741,07;4289993643449;29.299,77;955985947737;29.916,13;475317626470;29.390,37;4234484341993
2016-02-14;29.522,51;3289703950943;30.822,18;2921577592879;30.741,07;4289993643449;29.299,77;955985947737;29.916,13;475317626470;29.390,37;4234484341993
2016-02-15;29.497,04;3284158172590;30.802,61;2911410011706;30.709,21;4283191360092;29.300,62;958182143793;29.875,39;474175252246;29.352,33;4224970068842
2016-02-16;29.581,22;3294258925045;30.909,39;2919555870003;30.790,30;4294336994724;29.381,91;964552358655;29.945,27;476667151094;29.435,30;4239301074859
2016-02-17;29.806,63;3315432926950;31.142,01;2935487153146;31.012,79;4319004314254;29.607,68;972665026748;30.170,93;481608894120;29.659,98;4268611185015
2016-02-18;29.999,03;3332583864713;31.365,33;2950593949886;31.226,37;4344864681879;29.822,11;979363526012;30.354,85;486203894648;29.860,61;4295815527654
2016-02-19;30.003,38;3328262462101;31.368,16;2945493996930;31.230,88;4338711974042;29.821,92;979085373015;30.368,91;486037270159;29.861,39;4293725709228
2016-02-20;30.003,38;3328262462101;31.368,16;2945493996930;31.230,88;4338711974042;29.821,92;979085373015;30.368,91;486037270159;29.861,39;4293725709228
2016-02-21;30.003,38;3328262462101;31.368,16;2945493996930;31.230,88;4338711974042;29.821,92;979085373015;30.368,91;486037270159;29.861,39;4293725709228
2016-02-22;30.007,42;3322434658525;31.378,70;2940628684248;31.244,85;4334788562567;29.838,85;979194575273;30.383,56;486255696352;29.876,51;4293611118161
2016-02-23;29.989,29;3315419572913;31.353,01;2930535732580;31.226,06;4326598341622;29.815,52;978039990974;30.349,46;485364671075;29.835,74;4284676506543
2016-02-24;29.816,86;3291064322499;31.184,76;2909939692046;31.067,61;4300425972165;29.656,99;972611705350;30.201,11;482768805556;29.688,75;4260389307196
2016-02-25;29.818,71;3289047812144;31.179,89;2905187934418;31.070,68;4297485334432;29.660,60;972564987541;30.202,27;482383617550;29.703,72;4260608441309
2016-02-26;29.754,71;3278936427579;31.114,95;2897384155097;30.992,72;4284408695877;29.597,35;970144823037;30.121,63;480992260964;29.622,71;4245908942592
2016-02-27;29.754,71;3278936427579;31.114,95;2897384155097;30.992,72;4284408695877;29.597,35;970144823037;30.121,63;480992260964;29.622,71;4245908942592
2016-02-28;29.754,71;3278936427579;31.114,95;2897384155097;30.992,72;4284408695877;29.597,35;970144823037;30.121,63;480992260964;29.622,71;4245908942592
2016-02-29;29.806,00;3280227717335;31.178,62;2903621315883;31.058,25;4284280432456;29.651,02;971170343278;30.175,50;481474050671;29.682,35;4242045367342
