
Fecha;CAPITAL;;CUPRUM;;HABITAT;;MODELO;;PLANVITAL;;PROVIDA
;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio
2016-01-01;27.922,19;3981750923849;29.601,53;3005377826547;29.594,64;4345500154090;28.251,02;182214365888;27.460,49;675587276458;27.726,01;5864480012841
2016-01-02;27.922,19;3981750923849;29.601,53;3005377826547;29.594,64;4345500154090;28.251,02;182214365888;27.460,49;675587276458;27.726,01;5864480012841
2016-01-03;27.922,19;3981750923849;29.601,53;3005377826547;29.594,64;4345500154090;28.251,02;182214365888;27.460,49;675587276458;27.726,01;5864480012841
2016-01-04;27.933,76;3981995091213;29.608,72;3006569784640;29.606,29;4346956322531;28.260,78;184032195523;27.474,70;675165067430;27.735,97;5856681948442
2016-01-05;27.913,28;3974932060910;29.590,75;3002881040647;29.576,50;4340672734870;28.233,86;183636998074;27.447,46;674295055998;27.705,08;5848606402870
2016-01-06;27.919,45;3970829785894;29.588,40;3000633659130;29.577,31;4341195652449;28.241,00;183492534350;27.441,15;674955661769;27.715,66;5853444651603
2016-01-07;27.906,33;3969219645812;29.582,02;3000196174006;29.565,45;4339867324011;28.225,97;183407055995;27.439,08;675055309654;27.701,85;5852701670191
2016-01-08;27.883,97;3966196214078;29.557,48;2996048963865;29.542,49;4333312035744;28.190,15;183276619276;27.408,57;674460888051;27.673,45;5840740602866
2016-01-09;27.883,97;3966196214078;29.557,48;2996048963865;29.542,49;4333312035744;28.190,15;183276619276;27.408,57;674460888051;27.673,45;5840740602866
2016-01-10;27.883,97;3966196214078;29.557,48;2996048963865;29.542,49;4333312035744;28.190,15;183276619276;27.408,57;674460888051;27.673,45;5840740602866
2016-01-11;27.872,07;3963208685954;29.540,64;2988100027307;29.520,02;4319472364726;28.171,76;183454879781;27.396,56;674359300014;27.650,29;5835983647921
2016-01-12;27.933,66;3970756636118;29.610,17;2997137461739;29.591,74;4331889616726;28.228,27;184124442847;27.458,85;675801069685;27.722,85;5845787186111
2016-01-13;27.936,18;3961992647603;29.618,62;3001656459174;29.595,67;4333628313869;28.242,98;184877086520;27.463,01;675269116234;27.733,60;5847588414869
2016-01-14;27.879,58;3959310797708;29.552,85;2995748207606;29.519,59;4326752097656;28.178,75;184768958714;27.407,27;672259780439;27.659,35;5837479798593
2016-01-15;27.850,73;3959958628169;29.523,30;2995588659563;29.492,23;4324098894861;28.151,33;185670209007;27.377,27;671061877100;27.640,27;5823678882700
2016-01-16;27.850,73;3959958628169;29.523,30;2995588659563;29.492,23;4324098894861;28.151,33;185670209007;27.377,27;671061877100;27.640,27;5823678882700
2016-01-17;27.850,73;3959958628169;29.523,30;2995588659563;29.492,23;4324098894861;28.151,33;185670209007;27.377,27;671061877100;27.640,27;5823678882700
2016-01-18;27.826,26;3954531234452;29.489,71;2993114548942;29.460,15;4319055020892;28.123,09;185528628318;27.351,91;669991119546;27.610,35;5817404925959
2016-01-19;27.804,82;3952295748650;29.469,21;2992188681945;29.431,79;4312748074055;28.101,83;185564077190;27.321,37;669848254269;27.594,16;5813704115267
2016-01-20;27.799,57;3953594893882;29.461,09;2991289623192;29.429,50;4313758904802;28.098,58;185641011878;27.319,52;670031106046;27.591,96;5814440803506
2016-01-21;27.720,88;3943673180136;29.365,63;2984621507336;29.340,68;4300608988492;28.012,78;184816785770;27.245,41;667842881404;27.530,46;5799586617300
2016-01-22;27.704,33;3942020888845;29.358,20;2987106023240;29.315,84;4299561447377;27.997,55;184791098915;27.224,09;667832130767;27.541,92;5803439659509
2016-01-23;27.704,33;3942020888845;29.358,20;2987106023240;29.315,84;4299561447377;27.997,55;184791098915;27.224,09;667832130767;27.541,92;5803439659509
2016-01-24;27.704,33;3942020888845;29.358,20;2987106023240;29.315,84;4299561447377;27.997,55;184791098915;27.224,09;667832130767;27.541,92;5803439659509
2016-01-25;27.738,86;3946875228924;29.389,83;2992090380789;29.346,03;4301054810988;28.050,68;185436494866;27.263,32;668714425833;27.580,39;5810153684535
2016-01-26;27.761,86;3950444248401;29.406,29;2993674834406;29.367,18;4302512758775;28.057,87;185659620215;27.282,21;669503613713;27.585,12;5811217100458
2016-01-27;27.802,91;3958205652335;29.463,22;3003797434688;29.412,11;4311486589159;28.108,30;186489061349;27.319,72;670574274334;27.636,26;5821985900439
2016-01-28;27.793,38;3954763340434;29.447,31;3006130909770;29.397,35;4311105754144;28.080,66;186787747559;27.303,27;670534215397;27.620,89;5821251336499
2016-01-29;27.780,80;3981444392736;29.435,28;3020074336606;29.389,66;4340736484257;28.071,95;187086252602;27.295,72;674722066846;27.618,57;5868833006616
2016-01-30;27.780,80;3981444392736;29.435,28;3020074336606;29.389,66;4340736484257;28.071,95;187086252602;27.295,72;674722066846;27.618,57;5868833006616
2016-01-31;27.780,80;3981444392736;29.435,28;3020074336606;29.389,66;4340736484257;28.071,95;187086252602;27.295,72;674722066846;27.618,57;5868833006616
2016-02-01;27.872,06;3996513806531;29.538,36;3036944064105;29.477,53;4355109696679;28.170,31;189255487659;27.375,27;676084431993;27.714,43;5889229822632
2016-02-02;27.962,74;4009641322248;29.638,68;3050133013153;29.587,26;4371884134690;28.246,08;190074799784;27.457,67;679687735482;27.796,91;5906415435527
2016-02-03;27.916,71;4003661178724;29.575,89;3046656962053;29.525,53;4364080252603;28.189,52;189908439767;27.406,38;678756622377;27.737,76;5893190718746
2016-02-04;27.843,28;3992857841863;29.504,32;3037415155975;29.447,80;4350630745978;28.116,86;189606906932;27.332,35;675676732898;27.636,38;5870127244646
2016-02-05;27.776,96;3983775912531;29.436,29;3030752680646;29.373,92;4339732742425;28.050,03;189274468865;27.263,08;674097027451;27.585,42;5859793073780
