
Fecha;CAPITAL;;CUPRUM;;HABITAT;;MODELO;;PLANVITAL;;PROVIDA
;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio
2018-01-01;36.702,40;4011984769885;38.513,02;3635465861078;38.771,59;5588726153576;36.998,77;2074188501682;36.683,10;913738058187;36.255,69;4763365876961
2018-01-02;36.757,57;4015756690690;38.568,73;3644020842860;38.820,14;5599321712457;37.058,67;2081153488692;36.732,57;912777166319;36.300,03;4767503967049
2018-01-03;36.788,70;4019989565172;38.586,25;3648063883115;38.835,84;5603607170309;37.054,69;2081935875985;36.751,77;913704337882;36.309,63;4768786244399
2018-01-04;36.809,34;4023245356061;38.602,09;3651052270336;38.850,06;5607311992846;37.064,61;2083424062713;36.762,37;914278757501;36.321,47;4770777844945
2018-01-05;36.940,55;4039277533349;38.741,13;3664900594643;39.001,77;5631592144964;37.199,86;2090887102247;36.888,74;918126667829;36.454,91;4788665138751
2018-01-06;36.940,55;4039277533349;38.741,13;3664900594643;39.001,77;5631592144964;37.199,86;2090887102247;36.888,74;918126667829;36.454,91;4788665138751
2018-01-07;36.940,55;4039277533349;38.741,13;3664900594643;39.001,77;5631592144964;37.199,86;2090887102247;36.888,74;918126667829;36.454,91;4788665138751
2018-01-08;37.171,79;4067901318916;38.983,42;3692546412727;39.241,31;5670030696873;37.436,47;2105665004345;37.115,80;924329284905;36.678,71;4820159095962
2018-01-09;37.242,78;4078035957121;39.065,54;3704488478855;39.326,06;5686670651661;37.522,91;2112568532504;37.193,65;927485262449;36.754,60;4831711079980
2018-01-10;37.281,48;4088211224744;39.111,65;3717226196093;39.372,94;5702927743825;37.564,54;2118598670104;37.226,69;929437146432;36.790,04;4840184690515
2018-01-11;37.265,31;4090452570650;39.103,90;3722154039963;39.358,23;5707191875970;37.544,43;2121815713941;37.222,08;931571379940;36.776,54;4842632237977
2018-01-12;37.297,31;4100864715046;39.140,12;3732788234355;39.383,83;5722010789230;37.570,54;2132350335260;37.261,23;936551000448;36.806,32;4853336599589
2018-01-13;37.297,31;4100864715046;39.140,12;3732788234355;39.383,83;5722010789230;37.570,54;2132350335260;37.261,23;936551000448;36.806,32;4853336599589
2018-01-14;37.297,31;4100864715046;39.140,12;3732788234355;39.383,83;5722010789230;37.570,54;2132350335260;37.261,23;936551000448;36.806,32;4853336599589
2018-01-15;37.307,41;4122792795917;39.153,11;3764126224360;39.386,77;5778704621112;37.575,56;2158752738943;37.260,65;942206716627;36.808,99;4869491192714
2018-01-16;37.307,41;4122792795917;39.153,11;3764126224360;39.386,77;5778704621112;37.575,56;2158752738943;37.260,65;942206716627;36.808,99;4869491192714
2018-01-17;37.358,32;4141875005719;39.206,40;3791237247757;39.445,24;5827287460350;37.620,29;2190035431732;37.293,71;950429680147;36.864,61;4888674492564
2018-01-18;37.569,20;4174591588642;39.422,50;3819725808451;39.647,32;5868275880408;37.837,24;2223864322108;37.510,57;960851888479;37.071,36;4919543814296
2018-01-19;37.647,88;4186707406967;39.496,08;3832698824052;39.721,09;5886218020044;37.902,74;2246475990703;37.571,12;962986158436;37.143,85;4931077244701
2018-01-20;37.647,88;4186707406967;39.496,08;3832698824052;39.721,09;5886218020044;37.902,74;2246475990703;37.571,12;962986158436;37.143,85;4931077244701
2018-01-21;37.647,88;4186707406967;39.496,08;3832698824052;39.721,09;5886218020044;37.902,74;2246475990703;37.571,12;962986158436;37.143,85;4931077244701
2018-01-22;37.813,71;4206529711773;39.663,29;3854061469910;39.889,01;5915331444972;38.074,89;2258670330453;37.738,27;967833702837;37.301,86;4953776937145
2018-01-23;37.873,16;4216764557480;39.724,84;3864394267967;39.970,67;5933685268828;38.121,98;2262879165340;37.804,11;970542457173;37.357,53;4963178339920
2018-01-24;38.007,78;4234811220204;39.871,36;3881357626155;40.127,38;5963507858858;38.270,55;2272454698133;37.954,71;974702836299;37.505,52;4984105689061
2018-01-25;37.989,10;4234865413546;39.834,83;3879233675130;40.078,66;5959125801975;38.218,54;2269435400854;37.899,13;973741405020;37.476,45;4981152854581
2018-01-26;37.898,96;4220231782812;39.726,42;3853134571952;39.975,45;5904310212233;38.123,39;2248194157275;37.789,41;970903639577;37.378,04;4966114142716
2018-01-27;37.898,96;4220231782812;39.726,42;3853134571952;39.975,45;5904310212233;38.123,39;2248194157275;37.789,41;970903639577;37.378,04;4966114142716
2018-01-28;37.898,96;4220231782812;39.726,42;3853134571952;39.975,45;5904310212233;38.123,39;2248194157275;37.789,41;970903639577;37.378,04;4966114142716
2018-01-29;38.025,70;4232485112826;39.863,94;3857830762867;40.123,04;5903911885847;38.249,79;2238233452386;37.928,19;974243252789;37.504,52;4980935846597
2018-01-30;38.121,23;4244231855792;39.971,07;3869979514988;40.228,28;5916695995547;38.353,83;2228201731996;38.022,30;976910309704;37.607,96;4995030666585
2018-01-31;37.922,47;4218480232797;39.750,98;3859423785683;40.022,96;5875782896601;38.137,82;2195873734765;37.821,79;971683410890;37.407,91;4957789568266
2018-02-01;37.920,36;4215773982323;39.751,06;3864090280033;40.013,35;5876751444164;38.136,07;2198182164485;37.811,71;967746662473;37.405,22;4965588139123
2018-02-02;37.824,48;4206787473698;39.637,49;3853619614486;39.900,60;5860898396773;38.029,21;2192832312398;37.695,29;965287314395;37.296,31;4951512229807
2018-02-03;37.824,48;4206787473698;39.637,49;3853619614486;39.900,60;5860898396773;38.029,21;2192832312398;37.695,29;965287314395;37.296,31;4951512229807
2018-02-04;37.824,48;4206787473698;39.637,49;3853619614486;39.900,60;5860898396773;38.029,21;2192832312398;37.695,29;965287314395;37.296,31;4951512229807
2018-02-05;37.551,30;4176401937943;39.359,61;3826398059506;39.620,42;5816747327449;37.750,79;2176309853380;37.430,00;958919449216;37.032,15;4916687073947
2018-02-06;37.186,62;4136804213974;38.955,20;3788787997715;39.218,66;5760062639874;37.362,97;2154115070374;37.050,22;949787034984;36.676,53;4869835821411
2018-02-07;36.858,45;4099954197393;38.587,19;3753548514287;38.825,18;5703256003174;37.004,35;2134258220750;36.735,08;942299617740;36.315,68;4823042316618
2018-02-08;36.669,93;4078207645925;38.388,12;3735594183336;38.651,70;5679010183337;36.820,16;2124559813627;36.529,15;937671985673;36.139,78;4799488843844
2018-02-09;36.550,47;4038216330602;38.265,41;3687286304400;38.554,45;5593147307484;36.708,86;2101116330019;36.428,32;935846577957;36.045,71;4778561915808
2018-02-10;36.550,47;4038216330602;38.265,41;3687286304400;38.554,45;5593147307484;36.708,86;2101116330019;36.428,32;935846577957;36.045,71;4778561915808
2018-02-11;36.550,47;4038216330602;38.265,41;3687286304400;38.554,45;5593147307484;36.708,86;2101116330019;36.428,32;935846577957;36.045,71;4778561915808
2018-02-12;36.340,64;3986898236686;38.047,48;3629651065623;38.304,67;5486018647130;36.492,42;2071205846354;36.245,24;930348038440;35.813,58;4735514185074
2018-02-13;36.436,11;3995734179111;38.133,38;3637033444519;38.409,79;5496819618380;36.575,81;2058360792211;36.336,83;935269733754;35.905,60;4749703281664
2018-02-14;36.337,85;3988355385218;38.018,59;3625436394393;38.309,61;5478038322927;36.455,45;2041755431401;36.241,11;939724890259;35.806,82;4740818764491
2018-02-15;36.534,29;4015992830812;38.218,07;3642733514871;38.482,37;5512777079544;36.635,01;2036707130737;36.420,07;953161005632;35.994,05;4769330498439
2018-02-16;36.684,83;4038622987630;38.381,96;3661340330577;38.663,37;5537825213287;36.807,05;2034300572641;36.588,72;957804211666;36.162,74;4791076691945
2018-02-17;36.684,83;4038622987630;38.381,96;3661340330577;38.663,37;5537825213287;36.807,05;2034300572641;36.588,72;957804211666;36.162,74;4791076691945
2018-02-18;36.684,83;4038622987630;38.381,96;3661340330577;38.663,37;5537825213287;36.807,05;2034300572641;36.588,72;957804211666;36.162,74;4791076691945
2018-02-19;36.758,22;4049939258501;38.464,56;3670000364007;38.744,38;5550343499171;36.880,06;2037856007215;36.662,41;960049983313;36.236,62;4800930449349
2018-02-20;36.825,59;4059793405812;38.541,98;3679011252538;38.820,65;5563472553075;36.946,30;2041944720797;36.734,99;962823203509;36.307,73;4811317353272
2018-02-21;36.815,54;4060907983407;38.533,11;3682407326167;38.813,78;5567611787608;36.938,52;2042739955990;36.715,94;962763660733;36.298,28;4810921818694
2018-02-22;36.857,29;4066490580058;38.568,07;3686577074079;38.864,36;5576653590635;36.984,95;2046295767686;36.750,96;963839686209;36.342,36;4817317987987
2018-02-23;36.873,96;4071185228226;38.609,96;3691810359161;38.875,60;5581344207709;36.997,86;2047813391521;36.763,10;964381209629;36.352,99;4819197052891
2018-02-24;36.873,96;4071185228226;38.609,96;3691810359161;38.875,60;5581344207709;36.997,86;2047813391521;36.763,10;964381209629;36.352,99;4819197052891
2018-02-25;36.873,96;4071185228226;38.609,96;3691810359161;38.875,60;5581344207709;36.997,86;2047813391521;36.763,10;964381209629;36.352,99;4819197052891
2018-02-26;36.928,25;4076510063226;38.672,37;3699358094073;38.931,48;5591809373438;37.066,82;2051620692712;36.825,92;966269759348;36.412,78;4827934440015
2018-02-27;36.921,65;4076093444224;38.660,18;3698577600424;38.925,02;5589982644750;37.064,41;2051925889679;36.819,04;966224096503;36.414,12;4828916888280
2018-02-28;36.768,29;4060077843803;38.507,85;3690970732751;38.780,22;5564728554164;36.913,72;2043383810757;36.672,16;962050123539;36.266,22;4801275529883
