
Fecha;CAPITAL;;CUPRUM;;HABITAT;;MODELO;;PLANVITAL;;PROVIDA
;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio
2016-01-01;32.321,40;7745009839457;37.885,14;7569076546824;36.689,34;10600830902614;35.918,91;509718454971;66.166,77;1274348236774;32.266,03;12367504242773
2016-01-02;32.321,40;7745009839457;37.885,14;7569076546824;36.689,34;10600830902614;35.918,91;509718454971;66.166,77;1274348236774;32.266,03;12367504242773
2016-01-03;32.321,40;7745009839457;37.885,14;7569076546824;36.689,34;10600830902614;35.918,91;509718454971;66.166,77;1274348236774;32.266,03;12367504242773
2016-01-04;32.340,63;7744486759589;37.903,80;7590121089812;36.710,34;10618415505079;35.934,03;514735059369;66.208,94;1271736072344;32.281,00;12371778298836
2016-01-05;32.235,98;7718692836229;37.787,89;7568614348689;36.576,39;10581547844542;35.804,22;512926013110;65.974,09;1267107703498;32.176,69;12332126965418
2016-01-06;32.218,12;7714255187501;37.751,99;7560289348836;36.538,57;10571255611938;35.778,94;512614791431;65.900,66;1268756772913;32.159,00;12326128934585
2016-01-07;32.151,59;7698561648411;37.679,76;7547649774074;36.466,14;10550671238332;35.702,22;511752729288;65.783,00;1266338398292;32.090,33;12300826912842
2016-01-08;32.020,73;7666764211130;37.536,08;7518318812166;36.318,22;10509678121591;35.537,46;509574023068;65.471,11;1260613621151;31.962,03;12249652812529
2016-01-09;32.020,73;7666764211130;37.536,08;7518318812166;36.318,22;10509678121591;35.537,46;509574023068;65.471,11;1260613621151;31.962,03;12249652812529
2016-01-10;32.020,73;7666764211130;37.536,08;7518318812166;36.318,22;10509678121591;35.537,46;509574023068;65.471,11;1260613621151;31.962,03;12249652812529
2016-01-11;32.001,76;7663148032934;37.506,22;7505422578950;36.292,68;10499818528870;35.502,29;509424362452;65.410,60;1259788565421;31.925,82;12237457299826
2016-01-12;32.087,30;7683840166023;37.600,47;7517771601217;36.380,81;10517777293724;35.586,83;511111026841;65.565,51;1263542834521;32.015,73;12273034434297
2016-01-13;32.068,41;7677677411265;37.580,89;7509099389972;36.354,29;10502017028695;35.580,52;513263473194;65.527,29;1264086750620;32.006,36;12274475836086
