
Fecha;CAPITAL;;CUPRUM;;HABITAT;;MODELO;;PLANVITAL;;PROVIDA
;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio
2017-01-01;35.611,70;2794962129729;37.526,30;3660353614435;38.047,31;3650008499463;37.233,49;362122654746;35.047,05;357850488070;37.017,41;3056820556754
2017-01-02;35.611,70;2794962129729;37.526,30;3660353614435;38.047,31;3650008499463;37.233,49;362122654746;35.047,05;357850488070;37.017,41;3056820556754
2017-01-03;35.759,83;2798596438886;37.694,75;3664510328646;38.218,64;3656859961098;37.385,54;364674453264;35.182,61;355080681132;37.167,64;3053010061552
2017-01-04;36.023,36;2815279016177;37.953,32;3686784631815;38.473,57;3677549022030;37.650,29;366806547650;35.441,50;359049565651;37.433,50;3073054420387
2017-01-05;36.116,18;2822452014744;38.062,97;3695411217809;38.582,46;3683357476174;37.782,19;367613197611;35.551,44;359968550667;37.534,11;3080218075574
2017-01-06;36.022,99;2814452468449;37.973,89;3686122859233;38.484,57;3670408396027;37.705,37;366670178738;35.510,40;359525046041;37.457,22;3073584802667
2017-01-07;36.022,99;2814452468449;37.973,89;3686122859233;38.484,57;3670408396027;37.705,37;366670178738;35.510,40;359525046041;37.457,22;3073584802667
2017-01-08;36.022,99;2814452468449;37.973,89;3686122859233;38.484,57;3670408396027;37.705,37;366670178738;35.510,40;359525046041;37.457,22;3073584802667
2017-01-09;35.985,17;2814621966568;37.929,91;3683382045377;38.450,02;3669847980318;37.656,71;366585630092;35.452,73;358836282768;37.417,00;3070376368738
2017-01-10;36.128,06;2826954039498;38.075,76;3698265266018;38.598,02;3684823759645;37.816,36;368516244855;35.588,98;360331745883;37.571,21;3083472580323
2017-01-11;36.215,19;2833467683449;38.171,52;3709985728501;38.689,90;3694152941300;37.892,84;369890274801;35.685,97;361314628387;37.654,83;3090737758568
2017-01-12;36.390,15;2852196582520;38.376,92;3735381846197;38.889,01;3717315621309;38.094,09;373122417402;35.860,02;363340231049;37.852,16;3109088576322
2017-01-13;36.118,52;2832646018369;38.073,26;3704216971882;38.599,92;3688966899221;37.819,77;370584186278;35.589,04;361003777803;37.566,32;3088697491218
2017-01-14;36.118,52;2832646018369;38.073,26;3704216971882;38.599,92;3688966899221;37.819,77;370584186278;35.589,04;361003777803;37.566,32;3088697491218
2017-01-15;36.118,52;2832646018369;38.073,26;3704216971882;38.599,92;3688966899221;37.819,77;370584186278;35.589,04;361003777803;37.566,32;3088697491218
2017-01-16;36.048,12;2824797096949;37.997,43;3695686844471;38.519,18;3682317772651;37.755,53;374450774106;35.516,19;358095624231;37.483,22;3071394695035
2017-01-17;36.050,58;2825653702229;38.005,34;3696559673721;38.526,76;3683702828757;37.757,77;374938187485;35.525,46;360261339063;37.489,62;3074079817271
2017-01-18;35.917,73;2813938406927;37.859,52;3677932731543;38.386,95;3666225920290;37.611,70;372944592906;35.402,06;359014731633;37.355,60;3060508671952
2017-01-19;36.029,80;2822203490908;37.973,68;3688034428481;38.508,16;3675538211594;37.731,17;373927704183;35.510,23;360119094782;37.460,15;3068616236882
2017-01-20;36.005,44;2822660102854;37.942,28;3686117347140;38.472,15;3674023163423;37.699,67;373848308607;35.471,52;359869927025;37.436,52;3065323050917
2017-01-21;36.005,44;2822660102854;37.942,28;3686117347140;38.472,15;3674023163423;37.699,67;373848308607;35.471,52;359869927025;37.436,52;3065323050917
2017-01-22;36.005,44;2822660102854;37.942,28;3686117347140;38.472,15;3674023163423;37.699,67;373848308607;35.471,52;359869927025;37.436,52;3065323050917
2017-01-23;36.013,71;2822760913049;37.957,64;3687016860123;38.481,14;3674195550386;37.707,04;374037275182;35.491,44;360127775550;37.453,85;3065904716811
2017-01-24;35.796,99;2805590048382;37.729,60;3663407950558;38.245,80;3653932949740;37.470,10;371771342947;35.269,04;357746437563;37.228,10;3047396431432
2017-01-25;35.970,79;2818908212246;37.917,11;3681096378896;38.436,38;3671304098653;37.672,39;373715511613;35.444,14;359499470381;37.406,17;3061021595632
2017-01-26;36.088,26;2827668920122;38.037,25;3694332178178;38.569,22;3683563388307;37.807,84;375083395200;35.562,09;360810078238;37.521,72;3070835556472
2017-01-27;36.072,35;2826367333526;38.014,84;3691242868450;38.540,14;3680068812636;37.785,78;375089293024;35.542,78;360815806251;37.497,39;3068439163862
2017-01-28;36.072,35;2826367333526;38.014,84;3691242868450;38.540,14;3680068812636;37.785,78;375089293024;35.542,78;360815806251;37.497,39;3068439163862
2017-01-29;36.072,35;2826367333526;38.014,84;3691242868450;38.540,14;3680068812636;37.785,78;375089293024;35.542,78;360815806251;37.497,39;3068439163862
2017-01-30;36.100,38;2831469965823;38.054,05;3694125118242;38.580,46;3684153688483;37.829,04;375657423070;35.578,65;361206787684;37.536,05;3071798823251
2017-01-31;35.882,70;2809692866440;37.836,98;3668809352948;38.368,19;3659477750167;37.617,60;373705380722;35.379,19;358631932978;37.331,41;3049802424312
2017-02-01;35.719,98;2793015425777;37.664,70;3652058419269;38.192,30;3647733043463;37.455,92;376206597180;35.221,12;353834067261;37.167,88;3029594585546
2017-02-02;35.822,22;2798826275225;37.765,30;3660917352000;38.290,56;3653418022556;37.559,36;376959163233;35.312,93;355379463671;37.261,75;3036983571528
2017-02-03;35.722,93;2786453083673;37.664,49;3643730972514;38.200,25;3637184329085;37.464,72;375858852727;35.222,51;354237658230;37.165,68;3028054744626
2017-02-04;35.722,93;2786453083673;37.664,49;3643730972514;38.200,25;3637184329085;37.464,72;375858852727;35.222,51;354237658230;37.165,68;3028054744626
2017-02-05;35.722,93;2786453083673;37.664,49;3643730972514;38.200,25;3637184329085;37.464,72;375858852727;35.222,51;354237658230;37.165,68;3028054744626
2017-02-06;35.822,39;2793423494431;37.767,40;3652545300935;38.297,94;3644361913044;37.558,94;376685972582;35.306,14;354943605116;37.262,87;3035693775309
2017-02-07;35.736,47;2786808463610;37.682,99;3643294276059;38.206,40;3633983538101;37.471,04;376067082128;35.234,71;354297624144;37.179,90;3028932308212
2017-02-08;35.980,94;2805339368005;37.938,25;3666798866515;38.459,42;3655783438794;37.716,17;378391628048;35.456,74;356478877491;37.433,66;3049811181203
2017-02-09;36.074,43;2816211110531;38.041,89;3682351833309;38.560,74;3671141455617;37.818,78;380445964470;35.551,98;357583144670;37.539,53;3059298719314
2017-02-10;36.201,88;2827398888472;38.180,61;3697386814973;38.697,02;3685088700073;37.973,96;382586917151;35.679,84;359104736237;37.668,93;3070846921513
2017-02-11;36.201,88;2827398888472;38.180,61;3697386814973;38.697,02;3685088700073;37.973,96;382586917151;35.679,84;359104736237;37.668,93;3070846921513
2017-02-12;36.201,88;2827398888472;38.180,61;3697386814973;38.697,02;3685088700073;37.973,96;382586917151;35.679,84;359104736237;37.668,93;3070846921513
2017-02-13;36.172,93;2826643169012;38.140,06;3694572286474;38.654,88;3683099241280;37.910,84;383512859984;35.634,91;359016223445;37.622,40;3068999189602
2017-02-14;36.306,53;2841358119836;38.275,62;3714157347154;38.784,77;3699442235478;38.041,07;386533909339;35.751,88;360665169978;37.742,17;3084298169457
